model,case,slice,cells,status_errors,critical_flips,gold_unavailable,displaced,misread,displaced_chance_floor,gold_note_items_examined,note_ok,note_omission,note_displaced,note_fabricated
claude-sonnet-5,sample_01_clean,clean,31,0,0,7,0,0,0.492,5,5,0,1,0
claude-sonnet-5,sample_02_rotated,rotated,31,0,0,7,0,0,0.565,2,2,0,0,0
claude-sonnet-5,sample_03_lowcontrast,lowcontrast,31,0,0,11,0,0,0.452,6,6,0,0,0
claude-sonnet-5,sample_04_handwritten,handwritten,31,0,0,10,0,0,0.419,4,4,0,0,0
claude-sonnet-5,sample_05_clean,clean,31,0,0,9,0,0,0.484,7,7,0,0,0
claude-sonnet-5,sample_06_rotated,rotated,31,0,0,7,0,0,0.435,5,5,0,0,0
claude-sonnet-5,sample_07_lowcontrast,lowcontrast,31,0,0,9,0,0,0.427,0,0,0,0,0
claude-sonnet-5,sample_08_handwritten,handwritten,31,0,0,7,0,0,0.46,2,2,0,0,0
claude-sonnet-5,sample_09_clean,clean,31,0,0,9,0,0,0.508,2,2,0,0,0
claude-sonnet-5,sample_10_rotated,rotated,31,0,0,6,0,0,0.419,3,3,0,0,0
claude-sonnet-5,sample_11_lowcontrast,lowcontrast,31,0,0,11,0,0,0.46,1,1,0,0,0
claude-sonnet-5,sample_12_handwritten,handwritten,31,0,0,6,0,0,0.54,1,1,0,0,0
claude-sonnet-5,sample_13_clean,clean,31,0,0,4,0,0,0.492,5,5,0,0,0
claude-sonnet-5,sample_14_rotated,rotated,31,0,0,9,0,0,0.5,2,2,0,0,0
claude-sonnet-5,sample_15_lowcontrast,lowcontrast,31,0,0,7,0,0,0.524,1,1,0,0,0
claude-sonnet-5,sample_16_handwritten,handwritten,31,0,0,12,0,0,0.516,3,3,0,0,0
claude-sonnet-5,sample_17_clean,clean,31,0,0,7,0,0,0.484,6,6,0,0,0
claude-sonnet-5,sample_18_rotated,rotated,31,0,0,6,0,0,0.516,2,2,0,0,0
claude-sonnet-5,sample_19_lowcontrast,lowcontrast,31,0,0,9,0,0,0.476,5,5,0,0,0
claude-sonnet-5,sample_20_handwritten,handwritten,31,0,0,9,0,0,0.508,6,6,0,0,0
claude-sonnet-5,sample_21_clean,clean,31,0,0,9,0,0,0.508,5,5,0,0,0
claude-sonnet-5,sample_22_rotated,rotated,31,0,0,6,0,0,0.565,3,3,0,0,0
claude-sonnet-5,sample_23_lowcontrast,lowcontrast,31,0,0,9,0,0,0.5,0,0,0,0,0
claude-sonnet-5,sample_24_handwritten,handwritten,31,0,0,6,0,0,0.444,4,4,0,0,0
claude-sonnet-5,sample_25_clean,clean,31,0,0,4,0,0,0.492,3,3,0,0,0
claude-sonnet-5,sample_26_rotated,rotated,31,0,0,5,0,0,0.548,5,5,0,0,0
claude-sonnet-5,sample_27_lowcontrast,lowcontrast,31,0,0,10,0,0,0.484,3,3,0,0,0
claude-sonnet-5,sample_28_handwritten,handwritten,31,0,0,14,0,0,0.46,5,5,0,0,0
claude-sonnet-5,sample_29_clean,clean,31,0,0,5,0,0,0.516,2,2,0,0,0
claude-sonnet-5,sample_30_rotated,rotated,31,0,0,8,0,0,0.581,3,3,0,0,0
