case,slice,format_validity,retried,day_accuracy,critical_error_rate,critical_flips,gold_unavailable_days,hallucination_rate,hallucinated_notes,predicted_notes,note_fidelity,gold_notes,captured_notes
sample_01_clean,clean,True,False,1.0,0.0,[],7,0.16666666666666666,1,6,1.0,5,5
sample_02_rotated,rotated,True,False,1.0,0.0,[],7,0.0,0,2,1.0,2,2
sample_03_lowcontrast,lowcontrast,True,False,1.0,0.0,[],11,0.0,0,6,1.0,6,6
sample_04_handwritten,handwritten,True,False,1.0,0.0,[],10,0.0,0,4,1.0,4,4
sample_05_clean,clean,True,False,1.0,0.0,[],9,0.0,0,7,1.0,7,7
sample_06_rotated,rotated,True,False,1.0,0.0,[],7,0.0,0,5,1.0,5,5
sample_07_lowcontrast,lowcontrast,True,False,1.0,0.0,[],9,,0,0,,0,0
sample_08_handwritten,handwritten,True,False,1.0,0.0,[],7,0.0,0,2,1.0,2,2
sample_09_clean,clean,True,False,1.0,0.0,[],9,0.0,0,2,1.0,2,2
sample_10_rotated,rotated,True,False,1.0,0.0,[],6,0.0,0,3,1.0,3,3
sample_11_lowcontrast,lowcontrast,True,False,1.0,0.0,[],11,0.0,0,1,1.0,1,1
sample_12_handwritten,handwritten,True,False,1.0,0.0,[],6,0.0,0,1,1.0,1,1
sample_13_clean,clean,True,False,1.0,0.0,[],4,0.0,0,5,1.0,5,5
sample_14_rotated,rotated,True,False,1.0,0.0,[],9,0.0,0,2,1.0,2,2
sample_15_lowcontrast,lowcontrast,True,False,1.0,0.0,[],7,0.0,0,1,1.0,1,1
sample_16_handwritten,handwritten,True,False,1.0,0.0,[],12,0.0,0,3,1.0,3,3
sample_17_clean,clean,True,False,1.0,0.0,[],7,0.0,0,6,1.0,6,6
sample_18_rotated,rotated,True,False,1.0,0.0,[],6,0.0,0,2,1.0,2,2
sample_19_lowcontrast,lowcontrast,True,False,1.0,0.0,[],9,0.0,0,5,1.0,5,5
sample_20_handwritten,handwritten,True,False,1.0,0.0,[],9,0.0,0,6,1.0,6,6
sample_21_clean,clean,True,False,1.0,0.0,[],9,0.0,0,5,1.0,5,5
sample_22_rotated,rotated,True,False,1.0,0.0,[],6,0.0,0,3,1.0,3,3
sample_23_lowcontrast,lowcontrast,True,False,1.0,0.0,[],9,,0,0,,0,0
sample_24_handwritten,handwritten,True,False,1.0,0.0,[],6,0.0,0,4,1.0,4,4
sample_25_clean,clean,True,False,1.0,0.0,[],4,0.0,0,3,1.0,3,3
sample_26_rotated,rotated,True,False,1.0,0.0,[],5,0.0,0,5,1.0,5,5
sample_27_lowcontrast,lowcontrast,True,False,1.0,0.0,[],10,0.0,0,3,1.0,3,3
sample_28_handwritten,handwritten,True,False,1.0,0.0,[],14,0.0,0,5,1.0,5,5
sample_29_clean,clean,True,False,1.0,0.0,[],5,0.0,0,2,1.0,2,2
sample_30_rotated,rotated,True,False,1.0,0.0,[],8,0.0,0,3,1.0,3,3
sample_31_lowcontrast,lowcontrast,True,False,1.0,0.0,[],6,0.0,0,7,1.0,7,7
sample_32_handwritten,handwritten,True,False,1.0,0.0,[],8,0.0,0,7,1.0,7,7
sample_33_clean,clean,True,False,1.0,0.0,[],5,0.0,0,4,1.0,4,4
sample_34_rotated,rotated,True,False,1.0,0.0,[],11,0.0,0,3,1.0,3,3
sample_35_lowcontrast,lowcontrast,True,False,1.0,0.0,[],6,0.0,0,1,1.0,1,1
sample_36_handwritten,handwritten,True,False,1.0,0.0,[],7,0.0,0,5,1.0,5,5
sample_37_clean,clean,True,False,1.0,0.0,[],6,0.0,0,2,1.0,2,2
sample_38_rotated,rotated,True,False,1.0,0.0,[],10,0.0,0,4,1.0,4,4
sample_39_lowcontrast,lowcontrast,True,False,1.0,0.0,[],9,0.0,0,8,1.0,8,8
sample_40_handwritten,handwritten,True,False,1.0,0.0,[],10,0.0,0,4,1.0,4,4
